name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2018-01-01,-4.5,-12.2,-8.7,-5.2,-18.3,-13.3,-15.7,58,0,0,0,,0,0,71.3,23.8,291.8,1027.6,0.3,15.9,107.2,9.3,5,,2018-01-01T07:20:10,2018-01-01T16:39:19,0.5,Clear,Clear conditions throughout the day.,clear-day,"WALN4,72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-01-02,-1.7,-8.9,-6.1,-7.2,-16.9,-12.7,-12.4,61.4,0,0,0,,0.1,0,49,27.1,262.9,1028,0.6,16,105.1,9.1,5,,2018-01-02T07:20:15,2018-01-02T16:40:11,0.52,Clear,Clear conditions throughout the day.,snow,"WALN4,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-03,0.5,-7.8,-4.1,-1.1,-14.6,-8.7,-11.8,55.8,5.402,100,37.5,"rain,snow",0.3,0.1,72,21.7,262.1,1024.2,2.9,16,91.5,7.9,4,,2018-01-03T07:20:18,2018-01-03T16:41:04,0.55,"Snow, Rain",Clear conditions throughout the day with rain or snow.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-01-04,-0.1,-5.7,-2.9,-3.9,-9.8,-6.9,-6.8,75.9,1.301,100,54.17,"rain,snow",2.6,1.3,74.9,21.7,3.7,999.5,90.9,9,21,1.8,1,,2018-01-04T07:20:19,2018-01-04T16:41:58,0.59,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,E5816,KJRB,D8569,KNYC,F1417,72503014732"
New York,2018-01-05,-4.6,-11.2,-8.3,-8.2,-16.2,-13,-15.1,58.8,0,0,0,,1.4,4,67.8,14.1,291.7,1009.2,7,16,112.5,9.8,5,,2018-01-05T07:20:18,2018-01-05T16:42:54,0.62,Clear,Clear conditions throughout the day.,snow,"72505394728,72055399999,KLGA,D8569,KJRB,KNYC,F1417"
New York,2018-01-06,-3.7,-12.9,-10,-7.9,-22.1,-16.1,-18.3,51.8,0,0,0,,1,4.5,63.2,32.8,277,1023.2,1.3,16,112.7,9.7,5,,2018-01-06T07:20:14,2018-01-06T16:43:51,0.65,Clear,Clear conditions throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-07,-1.5,-14.4,-9.2,-5.8,-21.5,-14.7,-17,54.1,0,0,0,,0,4.7,59.2,27.6,249.3,1032.7,16,16,112.9,9.7,5,,2018-01-07T07:20:08,2018-01-07T16:44:49,0.69,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-08,-0.6,-7.8,-3.7,-5.1,-16,-9.3,-9.3,65.1,1.509,100,20.83,"rain,snow",0,4.3,79.6,25.3,247.9,1022.1,62.9,15.8,53.1,4.6,3,,2018-01-08T07:20:00,2018-01-08T16:45:49,0.75,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"72505394728,72055399999,KLGA,E5816,KJRB,KNYC,F1417,D5516,72503014732"
New York,2018-01-09,8.2,-1.1,2.6,7,-6.1,-0.1,-4.5,61.5,0.464,100,8.33,rain,0,3.7,64.8,16.5,274.8,1021.2,16.3,16,141.4,12.2,5,,2018-01-09T07:19:49,2018-01-09T16:46:50,0.75,Rain,Clear conditions throughout the day with rain.,rain,"72505394728,72055399999,E5816,KLGA,E9111,KJRB,KNYC,F1417,D2180,72503014732"
New York,2018-01-10,6,-0.1,2.5,4.9,-4,0.4,-3.7,63.9,2.121,100,4.17,rain,0,2.9,94.3,12.8,221.4,1030.8,25.1,16,108.5,9.3,5,,2018-01-10T07:19:36,2018-01-10T16:47:52,0.79,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-11,10.6,3,6.7,10.6,1,5.5,3.8,82.3,0.232,100,4.17,rain,0,1.6,77.8,12.9,260.5,1027.2,73.2,15.7,49.2,4.4,2,,2018-01-11T07:19:21,2018-01-11T16:48:56,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,D2180,72503014732"
New York,2018-01-12,15.7,7.9,13.1,15.7,5.7,13.1,12.5,96,9.495,100,66.67,rain,0,0.2,44.6,16.5,202.6,1011.8,100,9.9,10.7,0.9,0,,2018-01-12T07:19:04,2018-01-12T16:50:00,0.85,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E0925,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-13,13.8,-5.7,3.7,13.8,-8.7,1.7,-1.8,69.1,3.193,100,37.5,"rain,snow",0,0,57.8,21.6,288,1010.2,51,14.9,96.1,8.3,5,,2018-01-13T07:18:45,2018-01-13T16:51:05,0.89,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
